model_type,train_r2,train_rmse,test_r2,test_rmse,total_simulations,efficiency,result_file,simulator,chemistry,initial_error,final_error,error_improvement,iterations_completed,converged,total_time,approach,final_rmse,final_r2_score,efficiency_rmse,efficiency_r2,primary_rmse,primary_r2
random_forest,0.923800169006726,3.17483407883759e-16,0.4666325746566215,8.297349638681021e-16,30,0.0155544191552207,results\traditional\loki\O2_simple_1\20250715_155004\data\summary.csv,O2_simple_1,20250715_155004,,,,,,,traditional,,,,,8.297349638681021e-16,0.4666325746566215
neural_network,0.8702630536491701,4.626294979228977e-16,0.3529180297107236,9.904857305298414e-16,30,0.0117639343236907,results\traditional\loki\O2_simple_1\20250715_155004\data\summary.csv,O2_simple_1,20250715_155004,,,,,,,traditional,,,,,9.904857305298414e-16,0.3529180297107236
random_forest,0.923800169006726,3.17483407883759e-16,0.4289891594369781,9.027471162673465e-16,30,0.0142996386478992,results\traditional\loki\O2_simple_1\20250715_160346\data\summary.csv,O2_simple_1,20250715_160346,,,,,,,traditional,,,,,9.027471162673465e-16,0.4289891594369781
neural_network,0.8702630536491701,4.626294979228977e-16,0.4995612697114477,8.941108003501402e-16,30,0.0166520423237149,results\traditional\loki\O2_simple_1\20250715_160346\data\summary.csv,O2_simple_1,20250715_160346,,,,,,,traditional,,,,,8.941108003501402e-16,0.4995612697114477
random_forest,0.9320197712161392,3.301025937628536e-16,0.6566760954281253,7.455366420468323e-16,120,0.0054723007952343,results\traditional\loki\O2_simple_1\20250715_161201\data\summary.csv,O2_simple_1,20250715_161201,,,,,,,traditional,,,,,7.455366420468323e-16,0.6566760954281253
neural_network,0.669440576396695,7.351214137277255e-16,0.631331940499761,7.493441734831519e-16,120,0.0052610995041646,results\traditional\loki\O2_simple_1\20250715_161201\data\summary.csv,O2_simple_1,20250715_161201,,,,,,,traditional,,,,,7.493441734831519e-16,0.631331940499761
random_forest,0.9362553343671928,4.743753388954646e-16,0.6088696796917493,1.2152142991859958e-15,130,0.0046836129207057,results\traditional\mock\chem\20250715_154835\data\summary.csv,chem,20250715_154835,,,,,,,traditional,,,,,1.2152142991859958e-15,0.6088696796917493
neural_network,0.8420235575377771,8.328341040122765e-16,0.6469094466291166,1.190519724396316e-15,130,0.0049762265125316,results\traditional\mock\chem\20250715_154835\data\summary.csv,chem,20250715_154835,,,,,,,traditional,,,,,1.190519724396316e-15,0.6469094466291166
random_forest,0.9362553343671928,4.743753388954646e-16,0.5199814801548156,1.4459394426330539e-15,130,0.0039998575396524,results\traditional\mock\chem\20250715_160254\data\summary.csv,chem,20250715_160254,,,,,,,traditional,,,,,1.4459394426330539e-15,0.5199814801548156
neural_network,0.8420235575377771,8.328341040122765e-16,0.6013509774123734,1.258823074446336e-15,130,0.0046257767493259,results\traditional\mock\chem\20250715_160254\data\summary.csv,chem,20250715_160254,,,,,,,traditional,,,,,1.258823074446336e-15,0.6013509774123734
random_forest,0.9362553343671928,4.743753388954646e-16,0.5199814801548156,1.4459394426330539e-15,130,0.0039998575396524,results\traditional\mock\chem\20250715_160320\data\summary.csv,chem,20250715_160320,,,,,,,traditional,,,,,1.4459394426330539e-15,0.5199814801548156
neural_network,0.8420235575377771,8.328341040122765e-16,0.6013509774123734,1.258823074446336e-15,130,0.0046257767493259,results\traditional\mock\chem\20250715_160320\data\summary.csv,chem,20250715_160320,,,,,,,traditional,,,,,1.258823074446336e-15,0.6013509774123734
random_forest,,,,,35,0.027092109900486,results\adaptive\loki\O2_simple_1\20250727_172905\data\summary.csv,O2_simple_1,20250727_172905,0.0764007971371702,0.0517761534829874,32.23087268313648,5.0,False,398.5479726791382,adaptive,,,,,,
neural_network,,,,,35,0.0274497422872346,results\adaptive\loki\O2_simple_1\20250727_172905\data\summary.csv,O2_simple_1,20250727_172905,0.0160220289488365,0.0392590199467877,-145.03151300097116,5.0,False,313.34228324890137,adaptive,,,,,,
random_forest,,,,,100,0.0087458171806728,results\adaptive\mock\chem\20250727_172727\data\summary.csv,chem,20250727_172727,0.0870978535581063,0.125418281932713,-43.99698363294532,8.0,False,3.481661558151245,adaptive,,,,,,
neural_network,,,,,100,0.0086756262284199,results\adaptive\mock\chem\20250727_172727\data\summary.csv,chem,20250727_172727,0.1305044632888589,0.1324373771580033,-1.4811093968993685,8.0,False,1.260998010635376,adaptive,,,,,,
random_forest,,,,,100,,results\adaptive\mock\chem\20250727_180523\data\summary.csv,chem,20250727_180523,0.0870978535581063,0.1326432973386861,-52.29226889063884,8.0,False,2.4877915382385254,adaptive,1.8187132632246547e-16,0.8799618491755506,54983928485074.016,0.0087996184917555,1.8187132632246547e-16,0.8799618491755506
neural_network,,,,,100,,results\adaptive\mock\chem\20250727_180523\data\summary.csv,chem,20250727_180523,0.1305044632888589,0.1324373771580033,-1.4811093968993685,8.0,False,1.0478997230529783,adaptive,1.8158898279566272e-16,0.8803342628811003,55069420215061.92,0.008803342628811,1.8158898279566272e-16,0.8803342628811003
